Symbol,Side,SL,TP,Open Time,Open Price,Close Time,Close Price,PnL,Lots,Gain,Day of the week,Session,RR Ratio,Pips,Hour_Decimal,Losing_Streak,Equity_Curve,Equity_Curve_Delayed,Drawdown_State,Lot_Deviation,Prev_Close_Time,Revenge_Timer,Is_High_Risk,Real_Equity,Shadow_Equity
GBPUSD,SELL,1.26252,1.25923,2025-02-19 09:04:00,1.26225,2025-02-19 09:05:00,1.26252,-26.0,2.0,-0.4,Monday,LND,0.0,-2.6,9.066666666666666,0,104665.0,104691.0,0.6726755218216319,-0.5051120680004763,2025-02-12 15:34:00,9690.0,0,104665.0,107420.0
GBPUSD,SELL,1.26199,1.25866,2025-02-19 09:38:00,1.26169,2025-02-19 09:39:00,1.26199,24.0,2.0,0.1,Monday,LND,0.0,2.4,9.633333333333333,1,104689.0,104665.0,0.6973434535104364,-0.5130713637659797,2025-02-19 09:05:00,33.0,0,104689.0,107444.0
GBPUSD,BUY,1.26085,1.26247,2025-02-21 10:30:00,1.26115,2025-02-21 10:31:00,1.26085,-6.0,2.0,-0.2,Wednesday,LND,0.0,0.0,10.5,0,104683.0,104689.0,0.674573055028463,-0.5211168862164236,2025-02-19 09:39:00,2931.0,0,104683.0,107438.0
GBPUSD,BUY,1.2668,1.26899,2025-02-23 16:06:00,1.26712,2025-02-23 16:07:00,1.2668,-68.0,2.0,-0.82,Friday,NY,0.0,3.2,16.1,1,104615.0,104683.0,0.6802656546489564,-0.5292512078533144,2025-02-21 10:31:00,3215.0,0,104615.0,107370.0
GBPUSD,BUY,1.26896,1.27171,2025-02-26 12:33:00,1.2692,2025-02-26 12:34:00,1.26896,-24.0,1.5,-0.35,Monday,NY,0.0,-1.6,12.55,2,104591.0,104615.0,0.7447817836812145,-0.59925596335282,2025-02-23 16:07:00,4106.0,0,104591.0,107346.0
GBPUSD,SELL,1.26926,1.26596,2025-02-27 08:12:00,1.26896,2025-02-27 08:13:00,1.26926,-43.5,1.5,-0.54,Tuesday,LND,0.0,-3.0,8.2,3,104547.5,104591.0,0.7675521821631879,-0.6035859259012291,2025-02-26 12:34:00,1178.0,1,104547.5,107302.5
GBPUSD,BUY,1.26405,1.27035,2025-02-28 14:06:00,1.26426,2025-02-28 14:07:00,1.26405,-46.5,1.5,-0.57,Wednesday,NY,0.0,-3.0,14.1,4,104501.0,104547.5,0.8088235294117648,-0.6079425153089038,2025-02-27 08:13:00,1793.0,1,104501.0,107302.5
GBPUSD,BUY,1.26405,1.27035,2025-02-28 14:09:00,1.26435,2025-02-28 14:10:00,1.26405,-25.5,1.5,-0.36,Wednesday,NY,0.0,-2.0,14.15,5,104475.5,104501.0,0.8529411764705883,-0.612326141643006,2025-02-28 14:07:00,2.0,1,104475.5,107302.5
GBPUSD,SELL,1.27252,1.26922,2025-03-06 10:55:00,1.27222,2025-03-06 10:56:00,1.27252,-580.0,20.0,-0.72,Thursday,LND,0.0,-3.0,10.916666666666666,6,103895.5,104475.5,0.8771347248576851,1.9486638690458427,2025-02-28 14:10:00,8445.0,1,103895.5,107302.5
GBPUSD,SELL,1.27249,1.27053,2025-03-06 12:35:00,1.27219,2025-03-06 12:36:00,1.27249,-600.0,20.0,-0.74,Thursday,NY,0.0,-3.0,12.583333333333334,7,103295.5,103895.5,1.4274193548387097,1.9486638690458427,2025-03-06 10:56:00,99.0,1,103295.5,107302.5
