Date,Symbol,PnL_Saved,Risk_Score,Reason
2025-08-12 09:24:00,GBPUSD,500.0,75.6,"Drawdown_State: 0.12, Revenge_Timer: -0.08, RR Ratio: 0.06"
2025-08-12 11:58:00,GBPUSD,440.0,82.9,"Losing_Streak: 0.13, Drawdown_State: 0.10, Revenge_Timer: -0.06"
2025-08-12 12:17:00,GBPUSD,300.0,83.5,"Losing_Streak: 0.12, RR Ratio: -0.11, Drawdown_State: 0.08"
2025-08-14 08:53:00,GBPUSD,600.0,92.2,"Revenge_Timer: 0.12, RR Ratio: 0.07, Losing_Streak: 0.06"
2025-08-14 08:58:00,GBPUSD,420.0,92.4,"Revenge_Timer: 0.13, RR Ratio: 0.06, Drawdown_State: 0.05"
2025-08-14 08:58:00,GBPUSD,420.0,85.4,"Losing_Streak: 0.14, Revenge_Timer: 0.05, Drawdown_State: 0.05"
2025-08-14 09:08:00,GBPUSD,440.0,95.4,"Losing_Streak: 0.11, Revenge_Timer: 0.08, RR Ratio: 0.07"
2025-08-14 09:08:00,GBPUSD,440.0,87.3,"Losing_Streak: 0.13, Drawdown_State: 0.06, Revenge_Timer: 0.05"
2025-08-14 09:42:00,GBPUSD,460.0,87.1,"Losing_Streak: 0.14, Drawdown_State: 0.08, RR Ratio: 0.07"
2025-08-14 09:42:00,GBPUSD,460.0,96.7,"Losing_Streak: 0.12, RR Ratio: 0.08, Revenge_Timer: 0.06"
2025-08-14 09:44:00,GBPUSD,540.0,97.0,"Losing_Streak: 0.13, RR Ratio: 0.07, Revenge_Timer: 0.06"
2025-08-14 09:44:00,GBPUSD,540.0,96.7,"Losing_Streak: 0.12, RR Ratio: 0.08, Revenge_Timer: 0.06"
2025-08-14 10:05:00,GBPUSD,400.0,87.9,"Losing_Streak: 0.13, Drawdown_State: 0.08, Lot_Deviation: 0.04"
2025-08-14 10:05:00,GBPUSD,400.0,83.6,"Losing_Streak: 0.15, RR Ratio: -0.10, Drawdown_State: 0.07"
2025-08-15 10:41:00,GBPUSD,580.0,82.4,"Losing_Streak: 0.14, Drawdown_State: 0.08, Revenge_Timer: -0.04"
2025-08-15 10:41:00,GBPUSD,580.0,95.1,"Losing_Streak: 0.12, RR Ratio: 0.09, Revenge_Timer: 0.06"
2025-08-15 10:46:00,EURUSD,40.0,95.8,"Losing_Streak: 0.11, RR Ratio: 0.08, Revenge_Timer: 0.08"
2025-08-15 10:46:00,EUROUSD,40.0,87.9,"Losing_Streak: 0.14, Drawdown_State: 0.07, Revenge_Timer: 0.05"
2025-08-15 11:00:00,GBPUSD,20.0,81.1,"Losing_Streak: 0.14, RR Ratio: -0.12, Drawdown_State: 0.08"
2025-08-15 11:00:00,GBPUSD,20.0,87.3,"Losing_Streak: 0.13, Drawdown_State: 0.07, Revenge_Timer: 0.05"
2025-08-16 07:51:00,EURUSD,40.0,73.1,"Losing_Streak: 0.13, RR Ratio: -0.10, Drawdown_State: 0.10"
2025-08-16 07:51:00,EUROUSD,40.0,84.8,"Losing_Streak: 0.13, Drawdown_State: 0.07, Revenge_Timer: 0.04"
2025-08-16 07:57:00,EURUSD,620.0,94.2,"Losing_Streak: 0.10, RR Ratio: 0.08, Revenge_Timer: 0.08"
2025-08-16 07:57:00,GBPUSD,240.0,84.8,"Losing_Streak: 0.12, Drawdown_State: 0.07, Revenge_Timer: 0.04"
2025-08-16 07:57:00,EUROUSD,620.0,92.9,"Losing_Streak: 0.11, RR Ratio: 0.07, Drawdown_State: 0.07"
2025-08-16 07:57:00,GBPUSD,240.0,93.4,"Losing_Streak: 0.10, RR Ratio: 0.09, Drawdown_State: 0.07"
2025-08-16 08:03:00,GBPUSD,160.0,89.1,"RR Ratio: 0.08, Revenge_Timer: 0.08, Drawdown_State: 0.07"
2025-08-16 08:03:00,EURUSD,-100.0,57.9,"RR Ratio: -0.16, Drawdown_State: 0.06, Losing_Streak: 0.05"
2025-08-16 08:03:00,EUROUSD,-100.0,77.5,"Drawdown_State: 0.08, Revenge_Timer: 0.06, Losing_Streak: 0.04"
2025-08-16 08:04:00,GBPUSD,20.0,73.1,"RR Ratio: -0.11, Drawdown_State: 0.08, Revenge_Timer: 0.07"
2025-08-19 14:15:00,GBPUSD,100.0,73.6,"Losing_Streak: 0.12, Drawdown_State: 0.11, Revenge_Timer: -0.05"
